model_name,text_detection,text_recognition,preprocessing_steps,item_accuracy,char_accuracy,inference_time,average_type_textType1,average_region_bottom,average_length_short,average_length_long,average_length_medium,average_size_medium,average_normalized_levenshtein,average_bleu_score,average_rouge_rouge-1,average_rouge_rouge-2,average_rouge_rouge-l
easyocr,CRAFT,CRNN (CNN + BiLSTM + CTC),sharpening_binarization,0.3648648648648648,0.6470588235294118,18.58917546272278,0.5555555555555556,0.5555555555555556,0.6,0.4,0.5714285714285714,0.5555555555555556,0.6821428571428572,0.3400276850438357,0.6043165417690597,0.2702702652739226,0.5755395633517935
easyocr,CRAFT,CRNN (CNN + BiLSTM + CTC),sharpening_binarization,0.3648648648648648,0.6470588235294118,1.988691806793213,0.5555555555555556,0.5555555555555556,0.6,0.4,0.5714285714285714,0.5555555555555556,0.6821428571428572,0.3400276850438357,0.6043165417690597,0.2702702652739226,0.5755395633517935
easyocr,CRAFT,CRNN (CNN + BiLSTM + CTC),sharpening_denoising,0.527027027027027,0.7063492063492064,6.169890642166138,0.717948717948718,0.717948717948718,0.8421052631578947,0.4285714285714285,0.6923076923076923,0.717948717948718,0.7285714285714286,0.3613493715029804,0.6423357614257552,0.3013698580146369,0.6131386811337844
easyocr,CRAFT,CRNN (CNN + BiLSTM + CTC),sharpening_denoising,0.527027027027027,0.7063492063492064,2.476958751678467,0.717948717948718,0.717948717948718,0.8421052631578947,0.4285714285714285,0.6923076923076923,0.717948717948718,0.7285714285714286,0.3613493715029804,0.6423357614257552,0.3013698580146369,0.6131386811337844
easyocr,CRAFT,CRNN (CNN + BiLSTM + CTC),sharpening_denoising_binarization,0.527027027027027,0.7063492063492064,9.48228120803833,0.717948717948718,0.717948717948718,0.8421052631578947,0.4285714285714285,0.6923076923076923,0.717948717948718,0.7285714285714286,0.3613493715029804,0.6423357614257552,0.3013698580146369,0.6131386811337844
easyocr,CRAFT,CRNN (CNN + BiLSTM + CTC),sharpening_denoising_binarization,0.527027027027027,0.7063492063492064,2.5736186504364014,0.717948717948718,0.717948717948718,0.8421052631578947,0.4285714285714285,0.6923076923076923,0.717948717948718,0.7285714285714286,0.3613493715029804,0.6423357614257552,0.3013698580146369,0.6131386811337844
paddleocr,DBNet/EAST,CRNN/SVTR,binarization,0.0,0.0,12.76680588722229,,,,,,,0.0,0.0,0.0,0.0,0.0
paddleocr,DBNet/EAST,CRNN/SVTR,denoising,0.0,0.0,14.300360441207886,,,,,,,0.0,0.0,0.0,0.0,0.0
paddleocr,DBNet/EAST,CRNN/SVTR,denoising_binarization,0.0,0.0,16.59300470352173,,,,,,,0.0,0.0,0.0,0.0,0.0
paddleocr,DBNet/EAST,CRNN/SVTR,no_preprocessing,0.0,0.0,22.77405905723572,,,,,,,0.0,0.0,0.0,0.0,0.0
paddleocr,DBNet/EAST,CRNN/SVTR,sharpening,0.0,0.0,14.88223910331726,,,,,,,0.0,0.0,0.0,0.0,0.0
paddleocr,DBNet/EAST,CRNN/SVTR,sharpening_binarization,0.0,0.0,18.438098669052124,,,,,,,0.0,0.0,0.0,0.0,0.0
paddleocr,DBNet/EAST,CRNN/SVTR,sharpening_denoising,0.0,0.0,14.462676763534546,,,,,,,0.0,0.0,0.0,0.0,0.0
paddleocr,DBNet/EAST,CRNN/SVTR,sharpening_denoising_binarization,0.0,0.0,17.927387475967407,,,,,,,0.0,0.0,0.0,0.0,0.0
easyocr,CRAFT,CRNN (CNN + BiLSTM + CTC),no_preprocessing,0.527027027027027,0.7063492063492064,3.814641237258911,0.717948717948718,0.717948717948718,0.8421052631578947,0.4285714285714285,0.6923076923076923,0.717948717948718,0.7321428571428572,0.3786794356266647,0.6569343015717407,0.3287671182886096,0.6277372212797699
easyocr,CRAFT,CRNN (CNN + BiLSTM + CTC),sharpening,0.527027027027027,0.7063492063492064,6.514363765716553,0.717948717948718,0.717948717948718,0.8421052631578947,0.4285714285714285,0.6923076923076923,0.717948717948718,0.7321428571428572,0.3786794356266647,0.6569343015717407,0.3287671182886096,0.6277372212797699
